Date,Close*,High,Low,Open,Adj Close**,Volume
6/14/2005,331.7,331.71,328.8,328.98,331.7,-
6/13/2005,328.98,329.79,326.64,327.7,328.98,-
6/10/2005,327.7,328.82,326.79,328.18,327.7,-
6/9/2005,328.18,328.22,323.94,325.53,328.18,-
6/8/2005,325.33,328.25,324.95,327.42,325.33,-
6/7/2005,327.62,331.34,326.67,326.67,327.62,-
6/6/2005,326.67,326.74,324.15,325.05,326.67,-
6/3/2005,325.05,327.95,324.43,327.41,325.05,-
6/2/2005,327.41,327.56,325.41,326.51,327.41,-
6/1/2005,326.5,326.99,322.88,322.9,326.5,-
5/31/2005,322.9,324.11,322.33,323.14,322.9,-
5/27/2005,323.14,323.5,321.04,322.04,323.14,-
5/26/2005,322.04,322.04,317.7,317.7,322.04,-
5/25/2005,317.7,321.25,317.26,321.25,317.7,-
5/24/2005,321.25,321.47,319.54,321.01,321.25,-
5/23/2005,321.15,322.34,319.15,319.22,321.15,1765500
5/20/2005,319.22,320,317.1,320,319.22,1321100
5/19/2005,320,320.05,318.17,318.75,320,1910000
5/18/2005,318.75,318.75,312.15,312.15,318.75,2242900
5/17/2005,312.15,312.54,308.29,310.25,312.15,1584000
5/16/2005,310.25,310.25,305.01,305.02,310.25,1739900
5/13/2005,305.02,308.33,303.11,307.66,305.02,1892800
5/12/2005,307.6,312.52,306.91,311.73,307.6,-
5/11/2005,311.73,312.06,308.24,310.94,311.73,-
5/10/2005,311.04,315.17,310.58,315.17,311.04,1841500
5/9/2005,315.07,315.07,310.83,312.22,315.07,-
5/6/2005,312.22,313.03,310.98,311.3,312.22,-
5/5/2005,311.3,313.13,309.5,311.4,311.3,-
5/4/2005,311.4,311.4,306.16,306.16,311.4,-
5/3/2005,306.16,308.59,305.11,307.06,306.16,-
5/2/2005,307.06,307.06,303.08,303.08,307.06,-
4/29/2005,303.08,303.58,298.73,301.06,303.08,-
4/28/2005,301.06,307.41,301.05,307.41,301.06,-
4/27/2005,307.41,309.44,303.9,307.51,307.41,-
4/26/2005,307.51,312.76,307.1,312.01,307.51,-
4/25/2005,312.01,312.01,308.29,308.29,312.01,-
4/22/2005,308.29,312.71,306.01,312.71,308.29,-
4/21/2005,312.71,313.01,305.87,305.87,312.71,-
4/20/2005,305.87,311.61,305.87,311.15,305.87,-
4/19/2005,311.15,311.15,306.01,306.01,311.15,-
4/18/2005,306.01,306.52,301.89,303.41,306.01,-
4/15/2005,303.41,309.58,302.9,309.39,303.41,2247900
4/14/2005,309.39,315.66,309.39,315.19,309.39,-
4/13/2005,315.19,320.7,314.63,320.7,315.19,-
4/12/2005,320.7,320.94,314.58,317.85,320.7,1991800
4/11/2005,317.85,320.02,317.42,319.25,317.85,1458400
4/8/2005,319.25,323.65,319.17,323.65,319.25,1636700
4/7/2005,323.65,324.2,320.76,321.54,323.65,-
4/6/2005,321.54,324.64,321.38,321.38,321.54,-
4/5/2005,321.38,322.67,321.02,321.02,321.38,-
4/4/2005,321.02,321.75,317.35,319.85,321.02,-
4/1/2005,319.86,324.22,318.53,321.26,319.86,-
3/31/2005,321.26,322.28,320.14,321.37,321.26,-
3/30/2005,321.37,321.4,316.11,316.11,321.37,-
3/29/2005,316.11,323.63,315.84,321.38,316.11,-
3/28/2005,321.38,323.06,321.12,321.23,321.38,-
3/24/2005,321.31,323.49,319.84,319.84,321.31,1545700
3/23/2005,319.78,323.8,319.78,323.8,319.78,-
3/22/2005,323.8,328.59,323.63,325.21,323.8,-
3/21/2005,325.21,325.97,323.26,325.97,325.21,-
3/18/2005,325.97,327.5,324.14,326.76,325.97,2391200
3/17/2005,326.76,327.7,324.81,325.66,326.76,-
3/16/2005,325.66,327.43,325.03,327.42,325.66,1716100
3/15/2005,327.42,331.35,327.34,328.7,327.42,1610200
3/14/2005,328.7,328.95,327.17,327.34,328.7,1616300
3/11/2005,327.34,329.54,326.31,326.67,327.34,1676500
3/10/2005,326.67,329.61,326.05,329.51,326.67,1903500
