Date,Open,Day Low,Day High,Close,Volume
8/1/2013,259.79,236.85,260.73,242.04,816033152
9/1/2013,243.01,237.93,261.58,248.62,834657746
10/1/2013,248.58,245.47,265.9,257.67,1010192128
11/1/2013,257.89,244.7,259.76,244.93,786600885
12/1/2013,244.89,240.12,248.93,245.72,909391995
1/1/2014,245.51,243.91,255.44,254.34,828036921
2/1/2014,254.26,249.42,266.59,265.66,813553185
3/1/2014,264.99,258.36,269.02,264.62,871642658
4/1/2014,264.7,262.93,272.1,272.1,801036609
5/1/2014,272.07,270.55,279.37,279.02,822530241
6/1/2014,279.15,274.52,284.16,280.54,898257462
7/1/2014,280.72,278.15,286.51,279.79,702776340
8/1/2014,279.5,277.87,290.7,288.72,622558861
9/1/2014,288.91,268.25,291.67,270.39,872160434
10/1/2014,270.22,268.26,293.19,292.92,1174951445
11/1/2014,292.47,291.05,302.59,300,828523666
12/1/2014,299.72,291.37,307.43,300.6,1018227127
1/1/2015,300.75,300.75,326.94,317.41,886017773
2/1/2015,317.4,305.88,322.21,308.89,893040907
3/1/2015,308.94,298,321.07,310.75,1114526630
4/1/2015,310.79,293.78,316.59,295.33,904073765
5/1/2015,295.58,289.38,301.8,293.95,967561879
6/1/2015,294.09,279.14,297.57,279.76,1160783446
7/1/2015,279.94,279.45,295.14,292.92,943072453
8/1/2015,292.97,268.91,299.82,275.43,1096327441
9/1/2015,274.58,266.95,286.22,278.15,1165636341
10/1/2015,278.17,276.46,300.72,295.16,1051424199
11/1/2015,295.24,282.62,301.57,293.78,901468941
12/1/2015,294.3,283.37,299.3,295.06,1061089761
1/1/2016,293.6,264.68,297.91,282.85,1145893031
2/1/2016,282.07,258.53,285.11,280.14,1157267446
3/1/2016,280.87,280.87,307.5,307.21,1089876584
4/1/2016,306.58,298.18,308.87,301.54,948966034
5/1/2016,301.77,298,316.68,307.91,1052016214
6/1/2016,307.49,306.33,324.84,324.84,1254752627
7/1/2016,325.08,321.85,338.09,336.63,931643609
8/1/2016,336.6,319.82,338.09,324.67,1010831474
9/1/2016,324.64,309.12,331.22,318.03,1149372629
10/1/2016,317.2,296.24,317.2,301.88,985690401
11/1/2016,301.35,284.23,301.35,294.53,1225649524
12/1/2016,290.1,290.1,307.32,304.84,3756080835
1/1/2017,306.36,302.08,312.48,305.2,3745614400
2/1/2017,305.4,301.61,320.41,317.97,3525315814
3/1/2017,317.45,301.03,318.47,311.62,4525696853
4/1/2017,311.54,310.41,321.94,312.92,3697951398
5/1/2017,313.55,305.85,316.54,312.17,5251131486
6/1/2017,312.18,310.92,323.77,316.44,5020564840
7/1/2017,317.39,307.47,321.5,319.89,3878304311
8/1/2017,321.28,311.64,322.25,321.38,4208488982
9/1/2017,321.67,313.8,325.95,316.91,3768666282
10/1/2017,317.28,312.29,324.15,316.76,3995413493
11/1/2017,317.31,316.3,328.3,324.12,4153454098
12/1/2017,324.63,316.42,328.74,321.69,3733401226
1/1/2018,322.22,305.21,322.4,312.15,4173432932
2/1/2018,311.88,282.97,313.3,290.68,4948616510
3/1/2018,290.05,286.21,302.61,299.62,4579102135
4/1/2018,299.67,291.49,302.23,299.87,3981326189
5/1/2018,300.02,297.33,311.1,309.06,4619739655
6/1/2018,309.25,308.36,321.09,319.48,4606129744
7/1/2018,319.07,314.4,325.99,321.91,3912444105
8/1/2018,320.39,318.7,331.04,328.87,4237793871
9/1/2018,328.68,313.68,329.11,318.33,3543261321
10/1/2018,318.53,298.12,318.76,309.24,4500048343
11/1/2018,309.99,304.79,323.16,323,4145705685
12/1/2018,324.12,283.67,328.05,295.97,4403803965
1/1/2019,293.18,288.2,329.76,329.45,3921942130
2/1/2019,329.94,323.22,336.33,331.42,3817417646
3/1/2019,331.7,327.23,344.42,343.33,4024401129
4/1/2019,343.73,331.55,347.89,342.66,3351163622
5/1/2019,342.84,335.05,348.63,341.92,4006367887
6/1/2019,342.7,338.81,360.33,346.08,4137929815
7/1/2019,347.98,341.63,359.35,351.98,3702702903
8/1/2019,352.66,342.39,365.05,363.42,3808929993
9/1/2019,362.56,358.76,371.18,368.02,4076917708
10/1/2019,367.45,360.57,375.95,370.72,3771554480
11/1/2019,371.35,356.26,372.32,366.19,3679843877
12/1/2019,365.82,352.7,367.41,367.38,3690885767
1/1/2020,368.55,360.21,380.71,372.57,3618791125
2/1/2020,373.72,335.97,395.24,346.06,4431508045
3/1/2020,347.89,221.06,374.81,275.16,10623484991
4/1/2020,261.05,249,315.88,299.62,8494424317
5/1/2020,292.23,262.35,310.04,304.82,7216416822
6/1/2020,305.13,297.73,340.58,310.65,9459083308
7/1/2020,311.63,303.58,325.79,323.24,5348627086
8/1/2020,321.47,314.39,330.25,323.53,4343375860
9/1/2020,321.87,301.85,333.32,314.37,4482684495
10/1/2020,315.65,300.65,332.71,304.78,3110254072
11/1/2020,308.13,306.45,348.19,329.4,3948857582
12/1/2020,332.54,324.71,337.74,335.7,3557399610
1/1/2021,336.41,319.29,342.94,334.49,3094246281
2/1/2021,336.08,332.83,354.98,341.47,2982943423
3/1/2021,345.64,328.49,363.74,359.01,3748907656
4/1/2021,361.15,359.75,388.07,387.37,2846578346
5/1/2021,388.34,371.04,392.03,390.87,2920355299
6/1/2021,392.48,391.43,412.63,397.98,3613907023
7/1/2021,397.63,396.73,421.3,416.28,3175767041
8/1/2021,418.06,410.49,424.9,424.54,3032303562
9/1/2021,425.65,398.57,434.54,398.58,3464131230
10/1/2021,400.6,395.04,432.42,426.51,3030442881
11/1/2021,427.27,416.37,433.1,416.38,3659264511
12/1/2021,420.85,410.1,456.48,453.47,3880530286
1/1/2022,454.34,393.84,454.56,416.27,3884731522
2/1/2022,416.14,379.06,420.46,396.83,4300495431
3/1/2022,397.91,393.24,430.64,420.81,4649826468
4/1/2022,421.84,403,439.95,403.64,4000675264
5/1/2022,405.03,361.59,405.97,385.6,5684407799
6/1/2022,386.69,336.86,387.83,356.8,5705261105
7/1/2022,356.17,350.51,389.53,388.12,3862124889
8/1/2022,386.79,364.59,400.6,365.28,3959648229
9/1/2022,363.17,312.15,380.9,317.01,5453850265
10/1/2022,321.22,294.4,331.46,326.46,4560805212
11/1/2022,329.8,311.32,346.51,346.51,3975269277
12/1/2022,349.18,321.41,351.89,327.76,4044321037
1/1/2023,330.37,324.74,360.49,360.2,3604582202
2/1/2023,358.79,340.44,373.52,341.79,2773291568
